id,model,val/test,r2,mae,rmse,date,time,where,time_needed,id_awareness,epochs,num_blocks,num_sampled_neighbors,depth,batch_size,temporal_strategy,num_layers,channels,aggr,lr,layers
,Given model,val,0.2918692541923521,3.1037857222891523,3.901279046593357,13.12.2024,19:04:16,Leila laptop,732,False,100,1,128,2,512,uniform,2,128,sum,0.005,2.0
,Given model,test,-0.0659081756792736,4.434708329543733,5.379349387114859,13.12.2024,19:04:16,Leila laptop,732,False,100,1,128,2,512,uniform,2,128,sum,0.005,2.0
,Given model,val,0.2736201666030753,3.1554025299643063,3.9512288008387375,13.12.2024,19:13:20,Leila laptop,87,False,10,1,128,2,512,uniform,2,128,sum,0.005,2.0
,Given model,test,0.1138851502726487,4.008504962544692,4.904727269273396,13.12.2024,19:13:20,Leila laptop,87,False,10,1,128,2,512,uniform,2,128,sum,0.005,2.0
,Given model,val,0.2841078997317103,3.16177935692654,3.922600457702423,13.12.2024,19:21:31,Leila laptop,361,False,50,1,128,2,512,uniform,2,128,sum,0.005,2.0
,Given model,test,0.0002555535600625,4.279280942532054,5.209719682318653,13.12.2024,19:21:31,Leila laptop,361,False,50,1,128,2,512,uniform,2,128,sum,0.005,2.0
,Given model,val,0.2893636428893487,3.09502068024599,3.908174988682165,13.12.2024,19:27:23,Leila laptop,713,False,50,1,128,2,512,uniform,2,128,sum,0.005,4.0
,Given model,test,0.0471814063432189,4.1760413408279415,5.085983742427701,13.12.2024,19:27:23,Leila laptop,713,False,50,1,128,2,512,uniform,2,128,sum,0.005,4.0
,Given model,val,0.2708028965784774,3.1360382794856068,3.958883821844555,13.12.2024,19:33:10,Leila laptop,1061,False,50,1,128,2,512,uniform,2,128,sum,0.005,6.0
,Given model,test,0.08647203502863998,4.071876850211829,4.980016470355141,13.12.2024,19:33:10,Leila laptop,1061,False,50,1,128,2,512,uniform,2,128,sum,0.005,6.0
