id,model,val/test,r2,mae,rmse,date,time,where,time_needed,id_awareness,epochs,num_blocks,num_sampled_neighbors,depth,batch_size,temporal_strategy,num_layers,channels,aggr,lr
,Given model,val,0.2705642885194255,3.16896652783564,3.9595314823454832,01.12.2024,20:38:27,Leila laptop,52,False,10,1,128,2,512,uniform,1,128,sum,0.005
,Given model,test,0.1773749975781221,3.874641725640548,4.72575071127688,01.12.2024,20:38:27,Leila laptop,52,False,10,1,128,2,512,uniform,1,128,sum,0.005
,Given model,val,0.2489044155645524,3.2274055264357657,4.017888625183622,01.12.2024,20:39:40,Leila laptop,125,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.0713658929779849,4.181096135022347,5.021022540908263,01.12.2024,20:39:40,Leila laptop,125,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.0824382230700548,3.6479867386037537,4.4408688393289895,01.12.2024,20:41:30,Leila laptop,234,False,10,1,128,2,512,uniform,4,128,sum,0.005
,Given model,test,-0.0286545388931682,4.342940117518107,5.284508845651087,01.12.2024,20:41:30,Leila laptop,234,False,10,1,128,2,512,uniform,4,128,sum,0.005
,Given model,val,0.2396422540312222,3.199778813048052,4.042586086299933,01.12.2024,20:47:09,Leila laptop,53,False,10,1,128,2,512,uniform,1,128,sum,0.005
,Given model,test,0.059389617643769,4.116380398524435,5.053296021400539,01.12.2024,20:47:09,Leila laptop,53,False,10,1,128,2,512,uniform,1,128,sum,0.005
,Given model,val,0.2580020456379543,3.2481401941660013,3.993481194035068,01.12.2024,20:48:23,Leila laptop,127,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.1609654100090182,3.86750665756694,4.772652217355498,01.12.2024,20:48:23,Leila laptop,127,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.0772063323059435,3.645178090658041,4.453511647347079,01.12.2024,20:50:07,Leila laptop,230,False,10,1,128,2,512,uniform,4,128,sum,0.005
,Given model,test,-0.0339293263301652,4.363971209442407,5.2980406081943565,01.12.2024,20:50:07,Leila laptop,230,False,10,1,128,2,512,uniform,4,128,sum,0.005
,Given model,val,0.2635251185142609,3.1720330876673386,3.978590664295597,01.12.2024,20:50:57,Leila laptop,281,False,10,1,128,2,512,uniform,1,128,sum,0.005
,Given model,test,0.1489631398265296,3.936447186177237,4.806667059679027,01.12.2024,20:50:57,Leila laptop,281,False,10,1,128,2,512,uniform,1,128,sum,0.005
,Given model,val,0.2768384799280525,3.153354263879015,3.942465886265353,01.12.2024,20:52:09,Leila laptop,353,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.1523836515968575,3.939869390454208,4.796997787051609,01.12.2024,20:52:09,Leila laptop,353,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.1357840019840627,3.5397795853649847,4.309842906022915,01.12.2024,20:53:54,Leila laptop,458,False,10,1,128,2,512,uniform,4,128,sum,0.005
,Given model,test,0.0201240672668847,4.232390944832249,5.157691967758394,01.12.2024,20:53:54,Leila laptop,458,False,10,1,128,2,512,uniform,4,128,sum,0.005
,Given model,val,0.2322703053268018,3.246292012328694,4.062135996046164,01.12.2024,21:11:06,Leila laptop,214,False,20,1,128,2,512,uniform,4,128,sum,0.005
,Given model,test,0.0217922635593594,4.227967575893068,5.153299724080546,01.12.2024,21:11:06,Leila laptop,214,False,20,1,128,2,512,uniform,4,128,sum,0.005
,Given model,val,0.2951008977364557,3.1060731364156533,3.8923668787052255,01.12.2024,21:14:40,Leila laptop,428,False,20,1,128,2,512,uniform,4,128,sum,0.005
,Given model,test,0.1244926793977547,4.056713316524238,4.8752820579472615,01.12.2024,21:14:40,Leila laptop,428,False,20,1,128,2,512,uniform,4,128,sum,0.005
,Given model,val,0.2846854043465761,3.129133382795967,3.9210179727831793,01.12.2024,21:18:12,Leila laptop,640,False,20,1,128,2,512,uniform,4,128,sum,0.005
,Given model,test,0.0721720217173416,4.134869246399194,5.018842743003902,01.12.2024,21:18:13,Leila laptop,640,False,20,1,128,2,512,uniform,4,128,sum,0.005
