id,model,val/test,r2,mae,rmse,date,time,where,time_needed,id_awareness,epochs,num_blocks,num_sampled_neighbors,depth,batch_size,temporal_strategy,num_layers,channels,aggr,lr
,Given model,val,0.2457599322408552,3.248597568850877,4.026290344155188,16.12.2024,20:44:09,Leila laptop,74,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.0849845141557327,4.084514446509512,4.984069365052611,16.12.2024,20:44:09,Leila laptop,74,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2432388234608847,3.2529054882531176,4.033013831887725,16.12.2024,20:46:37,Leila laptop,221,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.0380239482146809,4.177305655730399,5.110365776793891,16.12.2024,20:46:37,Leila laptop,221,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2707411027499142,3.169609870477446,3.95905156072101,16.12.2024,20:47:51,Leila laptop,295,False,10,1,128,2,512,uniform,2,128,mean,0.005
,Given model,test,0.1155944368963901,4.007508166129129,4.899994456401338,16.12.2024,20:47:51,Leila laptop,295,False,10,1,128,2,512,uniform,2,128,mean,0.005
,Given model,val,0.2643837943235354,3.196273599215643,3.9762706150855553,16.12.2024,20:49:06,Leila laptop,370,False,10,1,128,2,512,uniform,2,128,mean,0.005
,Given model,test,0.0770596344280084,4.082676011093875,5.005606156845331,16.12.2024,20:49:06,Leila laptop,370,False,10,1,128,2,512,uniform,2,128,mean,0.005
,Given model,val,0.2697144574502582,3.1704211512803235,3.961837342416183,16.12.2024,20:50:20,Leila laptop,444,False,10,1,128,2,512,uniform,2,128,mean,0.005
,Given model,test,0.15663383315506,3.910917013904504,4.784955939494953,16.12.2024,20:50:20,Leila laptop,444,False,10,1,128,2,512,uniform,2,128,mean,0.005
,Given model,val,0.4074977431871246,2.7897628479029386,3.568578824241423,16.12.2024,21:01:42,Leila laptop,90,False,10,1,128,2,512,uniform,2,128,softmax,0.005
,Given model,test,0.1038106339558248,3.996402054042147,4.932530155336293,16.12.2024,21:01:42,Leila laptop,90,False,10,1,128,2,512,uniform,2,128,softmax,0.005
,Given model,val,0.3710417571204495,2.8741933461420524,3.6767254073738735,16.12.2024,21:03:11,Leila laptop,180,False,10,1,128,2,512,uniform,2,128,softmax,0.005
,Given model,test,-0.060591798461796,4.373496917297965,5.365917460986153,16.12.2024,21:03:11,Leila laptop,180,False,10,1,128,2,512,uniform,2,128,softmax,0.005
,Given model,val,0.3877925901653836,2.841043976966588,3.627434510985335,16.12.2024,21:04:41,Leila laptop,269,False,10,1,128,2,512,uniform,2,128,softmax,0.005
,Given model,test,-0.0299498986117221,4.310581836073022,5.287835125731256,16.12.2024,21:04:41,Leila laptop,269,False,10,1,128,2,512,uniform,2,128,softmax,0.005
,Given model,val,0.251820269041919,3.197606781505312,4.010082050865122,16.12.2024,21:06:02,Leila laptop,351,False,10,1,128,2,512,uniform,2,128,var,0.005
,Given model,test,-0.1313676390102116,4.525977769692739,5.54206649145525,16.12.2024,21:06:02,Leila laptop,351,False,10,1,128,2,512,uniform,2,128,var,0.005
,Given model,val,0.2564382486974774,3.118846343912597,3.997687207469376,16.12.2024,21:07:26,Leila laptop,435,False,10,1,128,2,512,uniform,2,128,var,0.005
,Given model,test,-0.0130841401064627,4.241683053803026,5.244361422736948,16.12.2024,21:07:26,Leila laptop,435,False,10,1,128,2,512,uniform,2,128,var,0.005
,Given model,val,0.2768441118349547,3.145120107641838,3.9424505344777847,16.12.2024,21:08:50,Leila laptop,518,False,10,1,128,2,512,uniform,2,128,var,0.005
,Given model,test,0.0874256331748152,4.083948024866874,4.977416563941307,16.12.2024,21:08:50,Leila laptop,518,False,10,1,128,2,512,uniform,2,128,var,0.005
,Given model,val,0.2523042192738649,3.254902657844579,4.008784906619075,16.12.2024,21:43:59,Leila laptop,71,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.1891967673645989,3.838797249710351,4.691671450157423,16.12.2024,21:43:59,Leila laptop,71,False,10,1,128,2,512,uniform,2,128,sum,0.005
