id,model,val/test,r2,mae,rmse,date,time,where,time_needed,id_awareness,epochs,num_blocks,num_sampled_neighbors,depth,batch_size,temporal_strategy,num_layers,channels,aggr,lr
,Given model,val,0.2812043899466718,3.1443974582847942,3.93054703512558,16.12.2024,22:10:39,Leila laptop,72,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.1662866969546744,3.905880103194922,4.757493695993358,16.12.2024,22:10:39,Leila laptop,72,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2247774470839503,3.263450995364345,4.081910602340229,16.12.2024,22:11:52,Leila laptop,145,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.0530422622201777,4.185539791542187,5.070317487827435,16.12.2024,22:11:52,Leila laptop,145,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2545196229020479,3.175355223934095,4.0028415368547865,16.12.2024,22:13:05,Leila laptop,218,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.1101093483036534,4.024368922459452,4.915165866931639,16.12.2024,22:13:05,Leila laptop,218,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2719921945278105,3.1317627095188705,3.955654095803492,16.12.2024,22:14:48,Leila laptop,321,False,10,1,128,2,512,uniform,2,256,sum,0.005
,Given model,test,0.0608707385835609,4.155115082682224,5.049315897761581,16.12.2024,22:14:48,Leila laptop,321,False,10,1,128,2,512,uniform,2,256,sum,0.005
,Given model,val,0.2702919629102346,3.1770947353793693,3.9602705339055646,16.12.2024,22:16:34,Leila laptop,427,False,10,1,128,2,512,uniform,2,256,sum,0.005
,Given model,test,0.0781332013454293,4.139779944336205,5.002694041934068,16.12.2024,22:16:34,Leila laptop,427,False,10,1,128,2,512,uniform,2,256,sum,0.005
,Given model,val,0.2325060752308556,3.321290442365444,4.061512206865095,16.12.2024,22:18:17,Leila laptop,530,False,10,1,128,2,512,uniform,2,256,sum,0.005
,Given model,test,0.1328985423022409,4.025810737024274,4.851821492512785,16.12.2024,22:18:17,Leila laptop,530,False,10,1,128,2,512,uniform,2,256,sum,0.005
,Given model,val,0.2827965129226021,3.1253321783337187,3.926191566548761,16.12.2024,22:24:57,Leila laptop,203,False,10,1,128,2,256,uniform,2,512,sum,0.005
,Given model,test,-0.0454848803695617,4.387138508286393,5.327564717462202,16.12.2024,22:24:57,Leila laptop,203,False,10,1,128,2,256,uniform,2,512,sum,0.005
,Given model,val,0.2735742263349754,3.1821374077755524,3.9513537476173313,16.12.2024,22:28:27,Leila laptop,413,False,10,1,128,2,256,uniform,2,512,sum,0.005
,Given model,test,0.1920540560696437,3.811923967411644,4.683397376718237,16.12.2024,22:28:27,Leila laptop,413,False,10,1,128,2,256,uniform,2,512,sum,0.005
,Given model,val,0.2728477637894176,3.0913598490621377,3.9533290307781206,16.12.2024,22:32:08,Leila laptop,634,False,10,1,128,2,256,uniform,2,512,sum,0.005
,Given model,test,-0.22706086384611512,4.7358251872397314,5.771688821864582,16.12.2024,22:32:08,Leila laptop,634,False,10,1,128,2,256,uniform,2,512,sum,0.005
