id,model,val/test,r2,mae,rmse,date,time,where,time_needed,id_awareness,epochs,num_blocks,num_sampled_neighbors,depth,batch_size,temporal_strategy,num_layers,channels,aggr,lr
,Given model,val,-0.2261112643221066,4.121745537787815,5.133519674176057,13.12.2024,18:22:12,Leila laptop,13,False,10,1,128,0,512,uniform,2,128,sum,0.005
,Given model,test,-0.06827852487719,4.437925460296765,5.385327320221954,13.12.2024,18:22:12,Leila laptop,13,False,10,1,128,0,512,uniform,2,128,sum,0.005
,Given model,val,0.1548411500470451,3.451547808064249,4.262059039015759,13.12.2024,18:22:23,Leila laptop,24,False,10,1,128,0,512,uniform,2,128,sum,0.005
,Given model,test,0.2101997267560422,3.8415516276945145,4.6305064731652585,13.12.2024,18:22:23,Leila laptop,24,False,10,1,128,0,512,uniform,2,128,sum,0.005
,Given model,val,0.0880997280789257,3.649881963277548,4.42714719982858,13.12.2024,18:22:35,Leila laptop,36,False,10,1,128,0,512,uniform,2,128,sum,0.005
,Given model,test,0.1518591170070515,3.9154310300893953,4.798481832348117,13.12.2024,18:22:35,Leila laptop,36,False,10,1,128,0,512,uniform,2,128,sum,0.005
,Given model,val,0.2034237577308448,3.367168997189325,4.137747304076186,13.12.2024,18:23:59,Leila laptop,119,False,10,1,64,0,64,uniform,2,128,sum,0.005
,Given model,test,0.156445553485405,3.962812828515706,4.785490025211859,13.12.2024,18:23:59,Leila laptop,119,False,10,1,64,0,64,uniform,2,128,sum,0.005
,Given model,val,0.1056712593650306,3.6187243659096553,4.384286068233617,13.12.2024,18:26:21,Leila laptop,262,False,10,1,64,0,64,uniform,2,128,sum,0.005
,Given model,test,-0.1365377763149444,4.632759606670915,5.554715158132928,13.12.2024,18:26:22,Leila laptop,262,False,10,1,64,0,64,uniform,2,128,sum,0.005
,Given model,val,0.1314060267619115,3.5536329275142693,4.320745591117488,13.12.2024,18:28:24,Leila laptop,384,False,10,1,64,0,64,uniform,2,128,sum,0.005
,Given model,test,-0.039533521976689,4.433259841517399,5.312379659341957,13.12.2024,18:28:24,Leila laptop,384,False,10,1,64,0,64,uniform,2,128,sum,0.005
,Given model,val,0.4286909704289363,2.698111893928441,3.5041753777752875,13.12.2024,18:28:43,Leila laptop,404,False,10,1,8,1,512,uniform,2,128,sum,0.005
,Given model,test,0.1053839712965361,4.052562303459435,4.928198513366607,13.12.2024,18:28:43,Leila laptop,404,False,10,1,8,1,512,uniform,2,128,sum,0.005
