id,model,val/test,r2,mae,rmse,date,time,where,time_needed,id_awareness,epochs,num_blocks,num_sampled_neighbors,depth,batch_size,temporal_strategy,num_layers,channels,aggr,lr
,Given model,val,0.2946516002578592,3.1061436274088297,3.8936071640415295,01.12.2024,16:57:00,Leila laptop,72.32471895217896,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.1791339634267607,3.8615059756396106,4.720695624008755,01.12.2024,16:57:00,Leila laptop,72.32471895217896,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.243001137830525,3.3136582139498727,4.033647132199181,01.12.2024,16:58:15,Leila laptop,146.42388725280762,False,10,2,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.0354128677235975,4.224259615362737,5.117296580344599,01.12.2024,16:58:15,Leila laptop,146.42388725280762,False,10,2,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.252850867950488,3.244085637999122,4.007319205122752,01.12.2024,16:59:32,Leila laptop,223.8194727897644,False,10,4,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.1063070779885523,4.017420048044439,4.925655284193325,01.12.2024,16:59:32,Leila laptop,223.8194727897644,False,10,4,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2632764040810607,3.1962246627909545,3.979262411165287,01.12.2024,17:00:55,Leila laptop,307.0460228919983,False,10,8,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.1286847986643947,3.95401591807081,4.863596097575862,01.12.2024,17:00:55,Leila laptop,307.0460228919983,False,10,8,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2524785476193515,3.2413373591028694,4.008317547034078,01.12.2024,17:02:31,Leila laptop,403.0106451511383,False,10,16,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.0708352631333331,4.095788448567976,5.02245686466268,01.12.2024,17:02:31,Leila laptop,403.0106451511383,False,10,16,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2275329172274076,3.2875563566097035,4.074649722722995,01.12.2024,17:03:47,Leila laptop,478.6606295108795,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.1374861820608323,3.943756736579694,4.838969519891979,01.12.2024,17:03:47,Leila laptop,478.6606295108795,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2427973306199794,3.269145362410612,4.0341900861494295,01.12.2024,17:04:59,Leila laptop,551.0792155265808,False,10,2,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.0519386894478614,4.176590226700432,5.073271070036801,01.12.2024,17:04:59,Leila laptop,551.0792155265808,False,10,2,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2670016124154263,3.1958943603352536,3.969189184385873,01.12.2024,17:06:13,Leila laptop,625.1144762039185,False,10,4,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.1642551323490451,3.9747405425289215,4.76328661965189,01.12.2024,17:06:13,Leila laptop,625.1144762039185,False,10,4,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2517745421853697,3.233568009266316,4.010204592039011,01.12.2024,17:07:31,Leila laptop,703.0374302864075,False,10,8,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.1363311990094781,3.9420428365573534,4.842208342214928,01.12.2024,17:07:31,Leila laptop,703.0374302864075,False,10,8,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2640076367446377,3.225536483147977,3.977287118771665,01.12.2024,17:08:55,Leila laptop,786.8247418403625,False,10,16,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.1190744873802114,4.009590435697322,4.890344451588303,01.12.2024,17:08:55,Leila laptop,786.8247418403625,False,10,16,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2569752241693502,3.19539075174886,3.9962434486474514,01.12.2024,17:10:05,Leila laptop,856.7003071308136,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.0071946918277505,4.274943102535448,5.191608096823371,01.12.2024,17:10:05,Leila laptop,856.7003071308136,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2352359503026623,3.3039977897384127,4.054282639785117,01.12.2024,17:11:16,Leila laptop,928.2459290027618,False,10,2,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.1695480261197256,3.9273031269876575,4.748179369166481,01.12.2024,17:11:16,Leila laptop,928.2459290027618,False,10,2,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2750300616101314,3.210919379168697,3.947392293166076,01.12.2024,17:12:30,Leila laptop,1001.9182136058809,False,10,4,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.0593680100691802,4.153601463092001,5.053354062883859,01.12.2024,17:12:30,Leila laptop,1001.9182136058809,False,10,4,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.284653056170786,3.1463755072477104,3.921106630518872,01.12.2024,17:13:50,Leila laptop,1081.1534357070925,False,10,8,128,2,512,uniform,2,128,sum,0.005
,Given model,test,-0.0093782836800346,4.29952421870148,5.234760711681729,01.12.2024,17:13:50,Leila laptop,1081.1534357070925,False,10,8,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2838344915628452,3.157686951929677,3.9233494313465975,01.12.2024,17:15:15,Leila laptop,1166.3190882205963,False,10,16,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.123111138576693,4.021356372164006,4.879127112132492,01.12.2024,17:15:15,Leila laptop,1166.3190882205963,False,10,16,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2936850645335737,3.160099589577817,3.896273946933846,01.12.2024,17:50:13,Leila laptop,136.0,False,10,128,128,2,512,uniform,2,128,sum,0.005
,Given model,test,-0.068563831183404,4.426549835037767,5.386046404822491,01.12.2024,17:50:13,Leila laptop,136.0,False,10,128,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2850545943463538,3.137622135164902,3.920005979272666,01.12.2024,17:52:26,Leila laptop,269.0,False,10,128,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.0112045859865714,4.251280691247238,5.181113157937773,01.12.2024,17:52:26,Leila laptop,269.0,False,10,128,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2974172908191146,3.07039342633708,3.885966195945863,01.12.2024,17:54:34,Leila laptop,397.0,False,10,128,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.0444860557664114,4.168541424274445,5.093172323902184,01.12.2024,17:54:34,Leila laptop,397.0,False,10,128,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2571033440742627,3.195542236065658,3.995898897281065,01.12.2024,18:03:07,Leila laptop,134.0,False,10,64,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.1144487099375682,4.018906184999566,4.90316734389653,01.12.2024,18:03:07,Leila laptop,134.0,False,10,64,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2482389353187266,3.185656178180743,4.019668181319191,01.12.2024,18:05:21,Leila laptop,268.0,False,10,64,128,2,512,uniform,2,128,sum,0.005
,Given model,test,-0.0221000037251377,4.327035164080168,5.267645627067496,01.12.2024,18:05:21,Leila laptop,268.0,False,10,64,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2779843199677748,3.174083484198622,3.93934125503446,01.12.2024,18:07:27,Leila laptop,394.0,False,10,64,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.09830839539912006,4.110336761014503,4.94764885063761,01.12.2024,18:07:27,Leila laptop,394.0,False,10,64,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2718865759021597,3.185769336702988,3.955941026516284,01.12.2024,18:12:02,Leila laptop,100.0,False,10,32,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.0918386926602073,4.03878482580185,4.965366995087948,01.12.2024,18:12:02,Leila laptop,100.0,False,10,32,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2882357713705386,3.147594282224168,3.911275147869552,01.12.2024,18:13:38,Leila laptop,197.0,False,10,32,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.0759753783916488,4.117764235881337,5.008545548075246,01.12.2024,18:13:38,Leila laptop,197.0,False,10,32,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.276490910818552,3.162943183794449,3.943413195207691,01.12.2024,18:15:17,Leila laptop,295.0,False,10,32,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.06226983913534201,4.153987779784622,5.045553298693861,01.12.2024,18:15:17,Leila laptop,295.0,False,10,32,128,2,512,uniform,2,128,sum,0.005
