id,model,val/test,r2,mae,rmse,date,time,where,time_needed,id_awareness,epochs,num_blocks,num_sampled_neighbors,depth,batch_size,temporal_strategy,num_layers,channels,aggr,lr
,Given model,val,0.2611186382817383,3.203005705089989,3.9850855166890473,01.12.2024,20:15:50,Leila laptop,76,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.1850133910600974,3.836012494396745,4.703759324779576,01.12.2024,20:15:50,Leila laptop,76,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2811960202421104,3.134962706734677,3.930569918836348,01.12.2024,20:17:08,Leila laptop,154,False,10,1,128,2,512,last,2,128,sum,0.005
,Given model,test,0.0692543213190235,4.15820423448295,5.026727817446359,01.12.2024,20:17:08,Leila laptop,154,False,10,1,128,2,512,last,2,128,sum,0.005
,Given model,val,0.2445507090463703,3.184711950017997,4.02951659401451,01.12.2024,20:18:27,Leila laptop,234,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.0072798308704141,4.265878500436481,5.191385486198589,01.12.2024,20:18:27,Leila laptop,234,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2894136424243791,3.135253387621903,3.9080374989748288,01.12.2024,20:19:48,Leila laptop,314,False,10,1,128,2,512,last,2,128,sum,0.005
,Given model,test,0.1742362291757554,3.840372491510291,4.734757801287352,01.12.2024,20:19:48,Leila laptop,314,False,10,1,128,2,512,last,2,128,sum,0.005
,Given model,val,0.2274274219299502,3.241622116251954,4.074927949277125,01.12.2024,20:21:14,Leila laptop,400,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.0109810642496865,4.212288012169955,5.1816987320388845,01.12.2024,20:21:14,Leila laptop,400,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2544702704567346,3.2041208561532244,4.002974033131456,01.12.2024,20:22:32,Leila laptop,478,False,10,1,128,2,512,last,2,128,sum,0.005
,Given model,test,0.06517799093242382,4.135800841314751,5.037723418848799,01.12.2024,20:22:32,Leila laptop,478,False,10,1,128,2,512,last,2,128,sum,0.005
